study_hours,attendance,previous_score,sleep_hours,assignments_completed,extracurricular,family_support,internet_access,health_status,passed
5,85,75,7,90,1,1,1,8,1
3,70,65,6,70,0,1,1,7,0
7,95,88,8,95,1,1,1,9,1
2,60,55,5,60,0,0,1,6,0
6,90,82,7,85,1,1,1,8,1
4,75,70,6,75,1,1,0,7,1
8,98,92,8,98,1,1,1,9,1
1,50,45,5,50,0,0,0,5,0
5,80,78,7,80,1,1,1,8,1
3,65,60,6,65,0,1,1,6,0
6,88,85,7,88,1,1,1,8,1
4,72,68,6,72,0,1,1,7,0
7,92,90,8,92,1,1,1,9,1
2,55,50,5,55,0,0,0,5,0
5,82,76,7,82,1,1,1,7,1
9,100,95,8,100,1,1,1,10,1
3,68,62,6,68,0,1,1,6,0
6,85,80,7,85,1,1,1,8,1
4,70,65,6,70,1,0,1,7,0
7,90,87,8,90,1,1,1,8,1
2,58,52,5,58,0,0,1,6,0
5,78,73,7,78,1,1,1,7,1
8,95,90,8,95,1,1,1,9,1
1,45,40,4,45,0,0,0,4,0
6,87,83,7,87,1,1,1,8,1
4,73,67,6,73,0,1,1,7,0
7,89,86,8,89,1,1,1,8,1
3,67,63,6,67,0,1,0,6,0
5,81,77,7,81,1,1,1,8,1
2,60,55,5,60,0,0,1,6,0
9,98,93,8,98,1,1,1,9,1
4,76,71,6,76,1,1,1,7,1
6,86,81,7,86,1,1,1,8,1
3,69,64,6,69,0,1,1,7,0
7,91,88,8,91,1,1,1,9,1
5,79,74,7,79,1,1,1,7,1
2,57,53,5,57,0,0,0,5,0
8,96,91,8,96,1,1,1,9,1
4,74,69,6,74,1,1,1,7,1
6,84,79,7,84,1,1,1,8,1
3,66,61,6,66,0,1,1,6,0
5,83,78,7,83,1,1,1,8,1
7,93,89,8,93,1,1,1,9,1
2,59,54,5,59,0,0,1,6,0
9,99,94,8,99,1,1,1,10,1
4,71,66,6,71,0,1,1,7,0
6,88,84,7,88,1,1,1,8,1
3,64,59,6,64,0,1,0,6,0
5,80,75,7,80,1,1,1,8,1
8,94,89,8,94,1,1,1,9,1
